------------------------------------------------------------------------------------------
Begin Training Report
------------------------------------------------------------------------------------------
Epoch [248/2000]	Loss: 4.7862	Infidelity: 0.1733	Energy difference: 0.0203
Epoch [249/2000]	Loss: 4.7860	Infidelity: 0.1990	Energy difference: 0.0205
Epoch [250/2000]	Loss: 4.7859	Infidelity: 0.2088	Energy difference: 0.0209
Epoch [251/2000]	Loss: 4.7858	Infidelity: 0.1928	Energy difference: 0.0190
Epoch [252/2000]	Loss: 4.7856	Infidelity: 0.1940	Energy difference: 0.0165
Epoch [253/2000]	Loss: 4.7855	Infidelity: 0.1819	Energy difference: 0.0151
Epoch [254/2000]	Loss: 4.7854	Infidelity: 0.1986	Energy difference: 0.0157
Epoch [255/2000]	Loss: 4.7852	Infidelity: 0.2004	Energy difference: 0.0197
Epoch [256/2000]	Loss: 4.7851	Infidelity: 0.1807	Energy difference: 0.0218
Epoch [257/2000]	Loss: 4.7850	Infidelity: 0.1886	Energy difference: 0.0135
Epoch [258/2000]	Loss: 4.7848	Infidelity: 0.1675	Energy difference: 0.0167
Epoch [259/2000]	Loss: 4.7847	Infidelity: 0.1993	Energy difference: 0.0171
Epoch [260/2000]	Loss: 4.7846	Infidelity: 0.1964	Energy difference: 0.0185
Epoch [261/2000]	Loss: 4.7844	Infidelity: 0.2028	Energy difference: 0.0199
Epoch [262/2000]	Loss: 4.7843	Infidelity: 0.1750	Energy difference: 0.0182
Epoch [263/2000]	Loss: 4.7841	Infidelity: 0.2032	Energy difference: 0.0204
Epoch [264/2000]	Loss: 4.7840	Infidelity: 0.1767	Energy difference: 0.0221
Epoch [265/2000]	Loss: 4.7838	Infidelity: 0.1956	Energy difference: 0.0171
Epoch [266/2000]	Loss: 4.7837	Infidelity: 0.2225	Energy difference: 0.0254
Epoch [267/2000]	Loss: 4.7836	Infidelity: 0.1810	Energy difference: 0.0178
Epoch [268/2000]	Loss: 4.7834	Infidelity: 0.1972	Energy difference: 0.0176
Epoch [269/2000]	Loss: 4.7833	Infidelity: 0.1580	Energy difference: 0.0161
Epoch [270/2000]	Loss: 4.7831	Infidelity: 0.1782	Energy difference: 0.0192
Epoch [271/2000]	Loss: 4.7830	Infidelity: 0.1630	Energy difference: 0.0192
Epoch [272/2000]	Loss: 4.7828	Infidelity: 0.1677	Energy difference: 0.0154
Epoch [273/2000]	Loss: 4.7826	Infidelity: 0.2049	Energy difference: 0.0251
Epoch [274/2000]	Loss: 4.7825	Infidelity: 0.1755	Energy difference: 0.0177
Epoch [275/2000]	Loss: 4.7823	Infidelity: 0.1884	Energy difference: 0.0188
Epoch [276/2000]	Loss: 4.7822	Infidelity: 0.1984	Energy difference: 0.0172
Epoch [277/2000]	Loss: 4.7820	Infidelity: 0.1857	Energy difference: 0.0177
Epoch [278/2000]	Loss: 4.7819	Infidelity: 0.1767	Energy difference: 0.0201
Epoch [279/2000]	Loss: 4.7817	Infidelity: 0.2027	Energy difference: 0.0210
Epoch [280/2000]	Loss: 4.7815	Infidelity: 0.1730	Energy difference: 0.0175
Epoch [281/2000]	Loss: 4.7814	Infidelity: 0.2023	Energy difference: 0.0178
Epoch [282/2000]	Loss: 4.7812	Infidelity: 0.1792	Energy difference: 0.0176
Epoch [283/2000]	Loss: 4.7810	Infidelity: 0.2037	Energy difference: 0.0173
Epoch [284/2000]	Loss: 4.7809	Infidelity: 0.1833	Energy difference: 0.0180
Epoch [285/2000]	Loss: 4.7807	Infidelity: 0.1906	Energy difference: 0.0198
Epoch [286/2000]	Loss: 4.7805	Infidelity: 0.1978	Energy difference: 0.0186
Epoch [287/2000]	Loss: 4.7804	Infidelity: 0.1738	Energy difference: 0.0172
Epoch [288/2000]	Loss: 4.7802	Infidelity: 0.1899	Energy difference: 0.0176
Epoch [289/2000]	Loss: 4.7800	Infidelity: 0.1785	Energy difference: 0.0143
Epoch [290/2000]	Loss: 4.7798	Infidelity: 0.1855	Energy difference: 0.0202
Epoch [291/2000]	Loss: 4.7797	Infidelity: 0.2144	Energy difference: 0.0189
Epoch [292/2000]	Loss: 4.7795	Infidelity: 0.2121	Energy difference: 0.0218
Epoch [293/2000]	Loss: 4.7793	Infidelity: 0.2004	Energy difference: 0.0193
Epoch [294/2000]	Loss: 4.7791	Infidelity: 0.1932	Energy difference: 0.0215
Epoch [295/2000]	Loss: 4.7790	Infidelity: 0.2074	Energy difference: 0.0189
Epoch [296/2000]	Loss: 4.7788	Infidelity: 0.1865	Energy difference: 0.0169
Epoch [297/2000]	Loss: 4.7786	Infidelity: 0.1978	Energy difference: 0.0216
Epoch [298/2000]	Loss: 4.7784	Infidelity: 0.1926	Energy difference: 0.0154
Epoch [299/2000]	Loss: 4.7782	Infidelity: 0.1968	Energy difference: 0.0194
Epoch [300/2000]	Loss: 4.7780	Infidelity: 0.1865	Energy difference: 0.0218
Epoch [301/2000]	Loss: 4.7778	Infidelity: 0.2040	Energy difference: 0.0187
Epoch [302/2000]	Loss: 4.7776	Infidelity: 0.1940	Energy difference: 0.0200
Epoch [303/2000]	Loss: 4.7774	Infidelity: 0.1826	Energy difference: 0.0189
Epoch [304/2000]	Loss: 4.7772	Infidelity: 0.1848	Energy difference: 0.0220
